A.Parc.;Parc;n;DAP ;Ht;Hdom
720;623;33;17,09;13,58;
720;623;34;17,19;13,62;
720;623;35;16,71;13,42;
720;623;36;16,23;13,22;
720;623;37;14,01;12,23;
720;623;38;;;
720;623;39;15,06;12,70;
720;623;40;12,73;11,63;
720;623;41;16,55;13,35;
720;623;42;14,80;12,59;
720;623;43;;;
720;623;44;18,75;14,26;
720;623;45;16,97;13,53;
720;623;46;15,12;12,73;
720;623;47;15,92;13,08;
720;623;48;;;
720;623;49;15,12;12,73;
720;623;50;11,62;11,08;
720;623;51;;;
720;623;52;16,01;13,12;
720;623;53;17,51;13,76;
720;623;54;17,03;13,56;
720;623;55;17,92;13,93;
720;623;56;14,48;12,45;
720;623;57;14,42;12,42;
720;623;58;15,06;12,70;
720;623;59;15,02;12,69;
720;623;60;14,55;12,47;
720;531;1;20,21;14,84;
720;531;2;20,37;14,90;
720;531;3;;;
720;531;4;19,42;14,53;
720;531;5;19,10;14,40;
720;531;6;;;
720;531;7;18,78;14,28;
720;531;8;;;
720;531;9;19,10;14,40;
720;531;10;;;
720;531;11;18,46;14,15;
720;531;12;20,37;14,90;
720;531;13;18,46;14,15;
720;531;14;18,14;14,02;
720;531;15;19,10;14,40;
720;531;16;;;
720;531;17;19,58;14,59;
720;531;18;21,17;15,21;
720;531;19;;;
720;531;20;20,05;14,78;
720;531;21;19,42;14,53;
720;531;22;18,78;14,28;
720;531;23;;;
720;531;24;16,55;13,35;
720;531;25;17,98;13,95;
720;531;26;17,98;13,95;
720;531;27;;;
720;531;28;16,87;13,49;
720;531;29;;;
720;531;30;19,42;14,53;
720;531;31;;;
720;531;32;19,74;14,65;
720;531;33;;;
720;531;34;19,42;14,53;
720;531;35;19,42;14,53;
720;531;36;;;
720;531;37;21,33;15,27;
720;531;38;20,05;14,78;
720;531;39;;;
720;531;40;19,10;14,40;
720;531;41;;;
720;531;42;19,10;14,40;
720;531;43;18,14;14,02;
720;531;44;;;
720;531;45;19,89;14,72;
720;531;46;;;
720;531;47;19,42;14,53;
720;531;48;19,74;14,65;
720;531;49;;;
720;531;50;17,67;13,82;
720;531;51;20,05;14,78;
720;531;52;18,78;14,28;
720;531;53;18,78;14,28;
720;531;54;;;
720;531;55;19,26;14,47;
720;531;56;20,05;14,78;
720;531;57;;;
720;531;58;;;
720;531;59;17,98;13,95;
720;531;60;19,42;14,53;
720;532;1;17,67;13,82;
720;532;2;18,46;14,15;
720;532;3;18,78;14,28;
720;532;4;;;
720;532;5;18,94;14,34;
720;532;6;;;
720;532;7;18,78;14,28;
720;532;8;18,14;14,02;
720;532;9;;;
720;532;10;17,83;13,89;
720;532;11;19,42;14,53;
720;532;12;18,46;14,15;
720;532;13;;;
720;532;14;19,42;14,53;
720;532;15;19,74;14,65;
720;532;16;;;
720;532;17;19,74;14,65;
720;532;18;18,78;14,28;
720;532;19;17,98;13,95;
720;532;20;;;
720;532;21;19,10;14,40;
720;532;22;18,78;14,28;
720;532;23;;;
720;532;24;19,26;14,47;
720;532;25;20,21;14,84;
720;532;26;;;
720;532;27;;;
720;532;28;20,37;14,90;
720;532;29;;;
720;532;30;19,58;14,59;
720;532;31;18,78;14,28;
720;532;32;18,14;14,02;
720;532;33;;;
720;532;34;20,21;14,84;
720;532;35;20,05;14,78;
720;532;36;;;
720;532;37;19,74;14,65;
720;532;38;18,94;14,34;
720;532;39;;;
720;532;40;18,46;14,15;
720;532;41;;;
720;532;42;18,78;14,28;
720;532;43;18,46;14,15;
720;532;44;;;
720;532;45;19,10;14,40;
720;532;46;18,94;14,34;
720;532;47;;;
720;532;48;17,98;13,95;
720;532;49;17,51;13,76;
720;532;50;;;
720;532;51;16,39;13,29;
720;532;52;;;
720;532;53;18,30;14,08;
720;532;54;19,42;14,53;
720;532;55;;;
720;532;56;19,10;14,40;
720;532;57;18,46;14,15;
720;532;58;;;
720;532;59;18,46;14,15;
720;532;60;18,30;14,08;
720;533;1;19,42;14,53;
720;533;2;17,51;13,76;
720;533;3;;;
720;533;4;18,78;14,28;
720;533;5;19,10;14,40;
720;533;6;;;
720;533;7;19,10;14,40;
720;533;8;18,78;14,28;
720;533;9;;;
720;533;10;18,78;14,28;
720;533;11;17,98;13,95;
720;533;12;16,87;13,49;
720;533;13;;;
720;533;14;18,30;14,08;
720;533;15;19,26;14,47;
720;533;16;;;
720;533;17;17,83;13,89;
720;533;18;19,89;14,72;
720;533;19;;;
720;533;20;16,55;13,35;
720;533;21;;;
720;533;22;19,74;14,65;
720;533;23;;;
720;533;24;19,10;14,40;
720;533;25;18,46;14,15;
720;533;26;18,78;14,28;
720;533;27;;;
720;533;28;19,42;14,53;
720;533;29;17,83;13,89;
720;533;30;18,62;14,21;
720;533;31;;;
720;533;32;19,10;14,40;
720;533;33;19,10;14,40;
720;533;34;16,23;13,22;
720;533;35;18,30;14,08;
720;533;36;19,10;14,40;
720;533;37;;;
720;533;38;19,74;14,65;
720;533;39;20,05;14,78;
720;533;40;19,10;14,40;
720;533;41;;;
720;533;42;17,51;13,76;
720;533;43;;;
720;533;44;17,83;13,89;
720;533;45;16,55;13,35;
720;533;46;17,83;13,89;
720;533;47;;;
720;533;48;17,67;13,82;
720;533;49;18,46;14,15;
720;533;50;16,87;13,49;
720;533;51;18,14;14,02;
720;533;52;18,62;14,21;
