A.Parc.;Parc;n;DAP ;Ht;Hdom
560;171;38;12,57;11,55;
560;171;39;13,75;12,11;
560;171;40;;;
560;171;41;17,00;13,54;
560;171;42;;;
560;171;43;14,45;12,43;
560;171;44;23,55;16,09;
560;171;45;16,33;13,26;
560;171;46;15,88;13,07;
560;171;47;;;
560;171;48;18,59;14,20;
560;171;49;;;
560;171;50;14,77;12,58;
560;171;51;16,33;13,26;
560;171;52;18,30;14,08;
560;171;53;15,57;12,93;
560;171;54;;;
560;171;55;15,15;12,75;
560;171;56;;;
560;171;57;18,75;14,26;
560;171;58;;;
560;171;59;14,10;12,27;
560;171;60;14,80;12,59;
560;172;1;14,20;12,32;
560;172;2;;;
560;172;3;15,88;13,07;
560;172;4;;;
560;172;5;15,44;12,87;
560;172;6;;;
560;172;7;14,32;12,37;
560;172;8;;;
560;172;9;15,88;13,07;
560;172;10;;;
560;172;11;14,45;12,43;
560;172;12;14,26;12,34;
560;172;13;14,07;12,26;
560;172;14;15,22;12,77;
560;172;15;19,13;14,42;
560;172;16;14,58;12,49;
560;172;17;13,66;12,06;
560;172;18;15,47;12,89;
560;172;19;15,34;12,83;
560;172;20;16,68;13,41;
560;172;21;;;
560;172;22;;;
560;172;23;;;
560;172;24;;;
560;172;25;;;
560;172;26;;;
560;172;27;;;
560;172;28;;;
560;172;29;;;
560;172;30;;;
560;172;31;14,23;12,33;
560;172;32;14,87;12,62;
560;172;33;;;
560;172;34;13,21;11,86;
560;172;35;12,13;11,33;
560;172;36;17,83;13,89;
560;172;37;16,14;13,18;
560;172;38;;;
560;172;39;13,21;11,86;
560;172;40;16,23;13,22;
560;172;41;;;
560;172;42;16,62;13,38;
560;172;43;19,23;14,45;
560;172;44;15,60;12,94;
560;172;45;;;
560;172;46;;;
560;172;47;19,10;14,40;
560;172;48;18,27;14,07;
560;172;49;17,76;13,86;
560;172;50;13,85;12,15;
560;172;51;;;
560;172;52;;;
560;172;53;15,98;13,11;
560;172;54;15,28;12,80;
560;172;55;13,81;12,14;
560;172;56;17,22;13,64;
560;172;57;13,88;12,17;
560;172;58;12,48;11,50;
560;172;59;18,37;14,11;
560;172;60;15,25;12,79;
560;173;1;13,43;11,96;
560;173;2;18,59;14,20;
560;173;3;;;
560;173;4;16,20;13,21;
560;173;5;;;
560;173;6;18,68;14,24;
560;173;7;12,67;11,60;
560;173;8;16,27;13,23;
560;173;9;;;
560;173;10;16,01;13,12;
560;173;11;15,34;12,83;
560;173;12;15,31;12,82;
560;173;13;14,77;12,58;
560;173;14;;;
560;173;15;17,06;13,57;
560;173;16;14,20;12,32;
560;173;17;14,45;12,43;
560;173;18;17,16;13,61;
560;173;19;15,50;12,90;
560;173;20;13,75;12,11;
560;173;21;13,11;11,81;
560;173;22;15,92;13,08;
560;173;23;;;
560;173;24;15,18;12,76;
560;173;25;14,16;12,30;
560;173;26;;;
560;173;27;17,06;13,57;
560;173;28;;;
560;173;29;15,41;12,86;
560;173;30;18,05;13,98;
560;173;31;15,57;12,93;
560;173;32;16,07;13,15;
560;173;33;14,64;12,52;
560;173;34;;;
560;173;35;17,22;13,64;
560;173;36;12,51;11,52;
560;173;37;16,30;13,25;
560;173;38;;;
560;173;39;;;
560;173;40;17,09;13,58;
560;173;41;11,71;11,13;
560;173;42;;;
560;173;43;;;
560;173;44;17,70;13,84;
560;173;45;;;
560;173;46;16,55;13,35;
560;173;47;12,38;11,46;
560;173;48;;;
560;173;49;19,89;14,72;
560;173;50;13,78;12,12;
560;173;51;;;
560;173;52;;;
560;173;53;;;
560;173;54;;;
560;173;55;;;
560;173;56;;;
560;173;57;;;
560;173;58;;;
560;173;59;;;
560;173;60;;;
